video_id,title,channel_id,channel_name,channel_handle_norm,category,view_count,publish_date,source_group,source_query,keywords,description
1-hr8eCOt_I,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,UCwkVsH8aIOco3U_Fu7-UW5w,AztecaGuate,aztecaguate,Entertainment,289,2023-01-16T13:10:57-08:00,topic,guatemala trafico,[],"Con el inicio de clases presenciales en el país, son varios los vehículos y buses  que se encuentran circulando en la Ciudad de Guatemala, los cuales transportan a los estudiantes a diferentes centros educativos"
1HQLJycvzaQ,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,gobiernodelarepublicadeguatema,Entertainment,1175,2025-02-24T19:16:24-08:00,topic,@GobiernodeGuatemala,[],Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
1kSG-naIgqk,PRIMERA SEDE MIGRATORIA REGIONAL EN CHIQUIMULA,UCWYeiFUCO0SW6BxZ8aPxVTw,Vicepresidencia Guate,vicepresidenciaguate,Entertainment,48,2026-02-01T05:00:09-08:00,topic,@GobiernodelaRepublicadeGuatema,[],"El @GobiernodelaRepublicadeGuatema, a través del Instituto Guatemalteco de Migración (IGM), inauguró la primera Sede Migratoria Regional en Chiquimula, con la participación de la vicepresidenta de la República, Dra. Karin Herrera, y el director general del IGM, Danilo Rivera. Esta nueva sede facilitará el acceso a trámites migratorios para la población del oriente del país, fortaleciendo la descentralización, reduciendo costos y acercando servicios de calidad a la ciudadanía."
1w9faaYjhyU,Fundación de la República de Guatemala 21 marzo 1847,UCdHETJl6cR5dye5XxEyqycQ,El profe de Historia Gt,elprofedehistoriagt2046,People & Blogs,31697,2020-03-20T19:59:44-07:00,topic,Gobierno de la República de Guatemala,[],"La Fundación de la República de Guatemala, proclamada por el general Rafael Carrera el 21 de marzo de 1847, constituye uno de los hitos políticos más trascendentales y, a la vez, más ignorados de nuestra historia nacional.

¿Por qué se invisibiliza este hecho en el sistema educativo? ¿Quién fue realmente Rafael Carrera y por qué su figura genera tanto debate entre ser un héroe nacional o un dictador conservador? 

En este video analizamos de forma profunda las causas políticas, económicas y sociales que llevaron al nacimiento de la República y la disolución de la Federación Centroamericana.
#HistoriaDeGuatemala #RafaelCarrera #ElProfeDeHistoriaGt #IndependenciaGuatemala #FundaciónDeLaRepublicaDeGuatemala"
1y61Kb9uSbg,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,mingobguate,News & Politics,471,2017-11-07T15:06:55-08:00,official_gov,PMT Guatemala,"[""Ministerio"", ""de"", ""Gobernación"", ""Guatemala""]","-  Ministerio de Gobernación, Comunicación Social, Audiovisuales"
1yHN9Ci7pXs,Municipalidad de Guatemala informa,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,municipalidaddeguatemala-1551,People & Blogs,1617,2010-06-03T07:14:01-07:00,topic,Municipalidad de Guatemala,"[""municipalidd"", ""guatemala"", ""arzú"", ""arzu""]",
2iqOSL9YguA,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,guatevision_oficial,Entertainment,5181,2026-05-16T23:44:07-07:00,topic,guatemala politica,[],"Gabriel Estuardo García Luna ya se encuentra en el edificio del Ministerio Público (MP) para asumir oficialmente como nuevo fiscal general para el período 2026-2030, en sustitución de María Consuelo Porras.
Su llegada marca el inicio de una nueva administración dentro de la institución, luego de un proceso de elección marcado por tensiones, impugnaciones y debate político.

Lea más en:
https://www.prensalibre.com/ciudades/guatemala-ciudades/mp-cambio-fiscal-general-consuelo-porras-gabriel-garcia-luna-2026/"
2n31FhKmELI,TRÁFICO EN GUATEMALA,UC96TdbkzdlngA9hT1XNzJkw,Fralis Maxiel Martinez,martinezfralis,People & Blogs,512,2024-05-06T21:28:03-07:00,topic,guatemala trafico,[],"En este reportaje, exploraremos las opiniones y vivencias de cuatro individuos que se enfrentan a las arterias congestionadas de la ciudad.

Amílcar Montejo, el vocero de la PMT, ofrecerá una visión desde la perspectiva de las autoridades encargadas de gestionar y controlar el tráfico en la ciudad, destacando los retos y estrategias para mejorar la movilidad urbana. Además, Maximiliano, un contador experimentado, compartirá sus desafíos diarios al volante, revelando las tensiones y frustraciones inherentes a su labor viajando desde muy lejos hacia su lugar de trabajo todos los días. Por otro lado, Antonio, un estudiante universitario, expresará cómo el tráfico condiciona su rutina académica y social, desafiando su capacidad para llegar a tiempo a sus compromisos

Entre el mar de autos, encontramos a Estuardo, un ciclista valiente que navega entre vehículos, buscando alternativas sostenibles y ágiles en medio del caos. A través de sus ojos, entenderemos los riesgos y recompensas de optar por la bicicleta como medio de transporte en una ciudad dominada por los automóviles.

Para añadir perspectiva psicológica, entrevistamos al Dr. Cristian Valladares, un psicólogo especializado en estrés urbano. El arrojará luz sobre el impacto emocional del tráfico en la población guatemalteca, destacando cómo la ansiedad y la irritabilidad se entrelazan con los atascos y las congestiones, afectando la calidad de vida de los ciudadanos.

A través de estas cuatro voces, nuestro reportaje trazará un panorama integral del tráfico en Guatemala, evidenciando sus complejidades y desafíos desde distintas miradas. En un país donde las calles son testigos de una constante lucha por la movilidad, estas narrativas individuales revelarán las múltiples facetas de una problemática que impacta a todos por igual.

Alumnas de V Semestre de la Licenciatura en Ciencias de la Comunicación Social de la Universidad Mesoamericana, realizan su primer Reportaje como parte del curso de Lenguaje de la Televisión."
2p23yPpu6aQ,#Conred,UC7PbHMtfWgBFZ_SSZ8iRhQg,Noticias-FA-Gt,noticiasfagt,People & Blogs,164,2023-10-13T17:06:28-07:00,official_gov,Conred Guatemala,[],"*Día internacional para la reducción del riesgo de desastres* 

La coordinadora Nacional para la reducción de desastres con red da mensaje por el día internacional por la reducción de desastres en Guatemala quien brinda declaraciones al tema el secretario ejecutivo de la conred general Oscar Estuardo Cosío Cámara"
3-jKER3zqcA,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,UC-YGRGi0FeIA5441bGlHOPw,audioschileros,audioschileros,People & Blogs,70811,2016-04-03T20:53:54-07:00,official_gov,PMT Guatemala,[],"ALTERCADO EN MAZATENANGO. 
Publicado por ‪#‎SuchiNoticias‬.

Ver el video, Compartirlo y analizar quien tiene la razon.
Vecino? o agente de PMT?"
3LAwISMokIg,MUNICIPALIDAD DE GUATEMALA 17/12/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,concejalesoposici%c3%b3n,People & Blogs,294,2025-12-17T16:30:34-08:00,topic,@MunicipalidaddeGuatemala-1551,[],
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,guatevisionnoticiero,News & Politics,573,2026-08-31T10:41:20-07:00,topic,guatemala noticias,"[""guatevision"", ""noticiero guatevision"", ""emisión en directo"", ""emisión en directo noticiero guatevision"", ""Guatemala"", ""clima"", ""marisol padilla""]","#NoticiasGuatemala #SismosJutiapa #TSE #Seguridad #AaronHerrera

🔔 Suscríbete al canal y activa la campanita para recibir las noticias más importantes de Guatemala."
3P2OUk7aGmc,Presidente presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,gobiernodelarepublicadeguatema,Entertainment,2838,2026-01-14T22:47:12-08:00,topic,Gobierno de la República de Guatemala,[],Presidente Bernardo Arévalo de León presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.
3S3KygWSjAQ,Himno de la Policía Nacional Civil de Guatemala,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,pncdeguatemala,News & Politics,53021,2018-12-22T13:06:17-08:00,official_gov,Policia Nacional Civil Guatemala,"[""PNC"", ""GUATEMALA"", ""POLICIA"", ""HIMNO"", ""PROTEGER"", ""SERVIR"", ""FUERZA""]",
3bU7I_ZpXUk,Congreso inicia proceso para nombrar a nuevo Fiscal General en Guatemala y suceder a Consuelo Porras,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,prensalibreoficial,News & Politics,7465,2026-01-13T19:55:00-08:00,topic,guatemala politica,"[""noticias Guatemala"", ""noticias Guatemala en vivo"", ""noticias última hora"", ""Guatemala"", ""Corte Suprema de Justicia"", ""CSJ Guatemala"", ""pleno extraordinario"", ""elección presidente CSJ"", ""Comisión de Postulación"", ""fiscal general MP"", ""Organismo Judicial"", ""sistema de justicia"", ""Prensa Libre"", ""Guatemala justice"", ""Supreme Court"", ""judicial leadership"", ""attorney general selection"", ""political process""]","El Congreso de la República dio el primer paso para la elección del próximo Fiscal General y jefe del Ministerio Público al aprobar la convocatoria para integrar la Comisión de Postulación. Este órgano será el encargado de evaluar, calificar y seleccionar a los aspirantes que buscarán dirigir el ente investigador, por ahora a cargo de Consuelo Porras.

Lea más en:
https://www.prensalibre.com/guatemala/politica/congreso-activa-proceso-para-elegir-al-nuevo-fiscal-general-y-jefe-del-ministerio-publico-breaking/
----------------------------
Busque más información de Guatemala y el mundo en  
https://www.prensalibre.com
https://www.facebook.com/prensalibregt
https://twitter.com/prensa_libre
https://www.instagram.com/prensa_libre
https://www.tiktok.com/@prensalibregt"
3onMfRym3OU,PRIMER PUENTE DONDE ARRIBA VA EL TRÁFICO Y ABAJO UN TREN EN GUATEMALA Y AMÉRICA LATINA.,UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,cronostime,Education,4484,2026-08-26T11:12:06-07:00,topic,guatemala trafico,"[""guatemala"", ""guate"", ""guatemala city"", ""cronos time gt"", ""cronos"", ""time"", ""cronostimegt"", ""noticias guatemala"", ""noticiasgt"", ""noticiasguatemala"", ""gobierno de guatemala"", ""gobierno de guate"", ""chapin de corazón"", ""bernardo arévalo"", ""tren en guatemala""]","PRIMER PUENTE DONDE ARRIBA VA EL TRÁFICO Y ABAJO UN TREN EN GUATEMALA Y AMÉRICA LATINA....

Facebook: https://www.facebook.com/CronosTime2
Instagram: https://www.instagram.com/cronostimegt/
Twitter: https://twitter.com/CronosTime4


by: Noti#BDMGT t/Creative community

                                International Attribution

–––––––––––––––– Daylight (instrumental) de RYYZNhttps://soundcloud.com/ryyzn Creative Commons — Attribution 3.0 Unported — CC BY 3.0 Descarga gratuita / Transmisión:https://bit.ly/3JifOId Música promovida por Audio Libraryhttps://youtu.be/sm3bb34UqCo


––––––––––––––––––––––––––––––
Ice Flow by Kevin MacLeod http://incompetech.com
Creative Commons — Attribution 4.0 International — CC BY 4.0
Free Download / Stream: https://bit.ly/ice-flow
Music promoted by Audio Library   
 • Ice Flow – Kevin ...  
––––––––––––––––––––––––––––––
🎵 Track Info:
Title: Ice Flow by Kevin MacLeod
Genre and Mood: Hip Hop & Rap + Dark
———
🎧 Available on: 
YouTube:   
 • Ice Flow  
iTunes: https://music.apple.com/us/album/ice-...
Incompetech: http://goo.gl/U1OgOP

#guatemala #GUATE #conostimegt #noticiasguatemala"
45xQLtMlPdo,"PRESIDENTE DE GUATEMALA, BERNARDO ARÉVALO SE REFIERE AL “DÍA INTERNACIONAL DE LA LIBERTAD DE PRENSA”",UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,idocumenta,People & Blogs,8,2026-05-05T11:42:52-07:00,topic,@GobiernodelaRepublicadeGuatema,[],"El Presidente de la república, Bernardo Arévalo habló sobre los avances que organismos y organizaciones internacionales de prensa el adjudican a Guatemala en materia de la libertad de prensa en este 2026.Además refirió que su gobierno es más abierto y está dispuesto al periodismo crítico como parte del ejercicio democrático y que ha sido así desde su inicio.
@GobiernodelaRepublicadeGuatema 
#noticias #nacionales #poliitica #like  #comenta #comparte #siguenos"
4DD1nlxWk2s,Fuertes LLUVIAS en el JABALI; a si luce una Tarde de Tormenta 😱,UCKu8ZkS9vriCetFagAGIMXA,VIVA GUATEMALA,vivaguatemalanb,Entertainment,27111,2025-07-26T14:22:51-07:00,topic,guatemala lluvias,[],
4FUed7cIhPU,El Sistema CONRED y el Gobierno de Guatemala trabajan unidos para atender emergencias.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,conred_gt,Education,47,2025-09-24T17:14:31-07:00,official_gov,Conred Guatemala,[],"Es importante que recuerden no cruzar ríos crecidos ni calles inundadas. 
¡Tu vida es lo más importante!"
4H6w9FQAcS8,"Avances en temas de economía, precios de los combustibles y otros temas de interés nacional.",UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,gobiernodelarepublicadeguatema,Entertainment,1489,2026-03-16T20:42:29-07:00,official_gov,Gobierno de Guatemala,[],"Avances en temas de economía, precios de los combustibles y otros temas de interés nacional. #LaRondaGT"
5DRG-WGTq1k,El Sistema CONRED continúa activo y trabajando de manera coordinada #VolcánDeFuego.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,conred_gt,Education,68,2026-08-04T06:17:36-07:00,official_gov,Conred Guatemala,[],
5MFnG5B7ric,Municipalidad de Guatemala 09/07/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,concejalesoposici%c3%b3n,People & Blogs,107,2025-07-09T17:11:59-07:00,topic,@MunicipalidaddeGuatemala-1551,[],"Dictamen Comisión Finanzas.
Dictamen Comisión EMPAGUA.
Dictamen Comisión jubilaciones.
Aprobación contrato administrativo"
5OhxjDvuYbQ,"Operativos PMT ""Cero Tolerancia"" para fin de año",UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,municipalidaddeguatemala-1551,News & Politics,494,2019-12-31T05:00:10-08:00,official_gov,PMT Guatemala,"[""Ricardo"", ""Quiñónez"", ""Administración"", ""Alcalde"", ""Alcaldía"", ""Alcaldías"", ""Municipalidad"", ""Municipal"", ""Muni"", ""Cumple"", ""Equipo"", ""Transparencia"", ""Servicios"", ""Servir"", ""Servidor"", ""Público"", ""Pasión"", ""Todos"", ""Somos"", ""La"", ""Ciudad"", ""Del"", ""Futuro"", ""Para"", ""Vivir"", ""año nuevo"", ""tránsito vehicular"", ""PMT Guatemala""]","La PMT Ciudad de Guatemala informa sobre los operativos de prevención que tendrán a cargo 850 elementos, como alcoholemia, regulación del tránsito vehicular y el apoyo interinstitucional con municipios vecinos con la finalidad de mantener corredores viales favorables para más de 1 millón 150 mil vehículos que ingresan por día a la ciudad."
5UNxNfcSzG4,Distinción del Cambio de la Rosa de la Paz a Pedro Castro López del INACOP,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,gobiernodelarepublicadeguatema,Entertainment,741,2026-08-28T10:14:57-07:00,topic,Gobierno de la República de Guatemala,[],Distinción del Cambio de la Rosa de la Paz a Pedro Castro López del Instituto Nacional de Cooperativa.
5Y7fntl6Rc8,Cómo llegar a TIKAL desde Ciudad de GUATEMALA en autobús o en Avión | transporte a PETÉN,UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,deviajeconmigue,Travel & Events,11061,2025-04-22T18:00:06-07:00,topic,guatemala transporte,"[""viajes"", ""tips de viajes"", ""travel"", ""mundo chevez"", ""consejos de viajes"", ""guatemala"", ""de ciudad de guatemala a petén"", ""cómo llegar de ciudad de Guatemala a Tikal"", ""transporte a Petén y Tikal"", ""transporte colectivo en Petén"", ""Isla de Flores"", ""Cómo llegar a Tikal"", ""Transporte para ir a Tikal"", ""Transporte en Guatemala"", ""autobuses fuentes del norte Guatemala"", ""vuelo de Guatemala a Flores"", ""qué saber antes de visitar Guatemala"", ""Ruinas de Tikal"", ""Formas económicas de viajar""]","Viajeros, en este video te explico (al menos eso trato) las formas de moverte desde ciudad de #Guatemala hasta el departamento de #Petén ya sea la Isla de Flores o El Remate que es donde yo me hospedé para poder visitar las ruinas de la ciudad maya de #Tikal 

Así que si quieres saber los medios de transporte que hay, los horarios, los tiempos de trayecto y más sugerencias respecto a este proceso, aquí te explico algunos detalles que creo debes saber antes de viajar y hacer tu itinerario para que sea más favorable para tus días en el bello país de Guatemala

(00:00) Intro
(00:28) Sugerencias para organizar tu itinerario
(01:44) información sobre transporte (Autobús) 
(02:20) información sobre transporte (Avión)
(03:15) Detalles del trayecto en autobús
(04:36) Primeras impresiones al llegar a Petén
(05:34) Consejos de dónde hospedarte
(06:21) Sugerencias de tours a Tikal, hospedaje y transporte económicos
(09:44) Transportes ""colectivos"" qué son y cómo funcionan
(11:19) Redes sociales

SUSCRÍBETE A MI CANAL:
https://www.youtube.com/channel/UCfMjuFkpFo_QAWtvQqR2EHQ?view_as=subscriber
.
REDES SOCIALES:
Instagram: https://www.instagram.com/deviajeconmigue/
Twitter: https://twitter.com/deviajeconmigue
Facebook: https://www.facebook.com/deviajeconmigue/
TikTok: https://www.tiktok.com/@deviajeconmigue
.
CONTACTO:
mundo.chevez@gmail.com"
5nw9G1vwnYY,Actriz guatemalteca caracteriza a Consuelo Porras frente al MP por salida del cargo,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,prensalibreoficial,News & Politics,40327,2026-05-16T18:15:50-07:00,topic,guatemala noticias,"[""noticias Guatemala"", ""noticias Guatemala en vivo"", ""noticias última hora"", ""Guatemala"", ""Consuelo Porras"", ""Ministerio Público"", ""actriz guatemalteca"", ""caracterización"", ""salida del cargo"", ""Gabriel García Luna"", ""cambio de mando"", ""Guatemala news"", ""Public Ministry"", ""Guatemalan actress"", ""attorney general"", ""symbolic protest"", ""political transition""]","Una actriz guatemalteca caracterizó a María Consuelo Porras frente al Ministerio Público como parte de las actividades organizadas ante su salida del cargo.
La actividad también se desarrolló en el contexto de la llegada del nuevo fiscal general, Gabriel García Luna, como parte del cambio de mando en la institución.

Lea más en:
https://www.prensalibre.com/ciudades/guatemala-ciudades/mp-cambio-fiscal-general-consuelo-porras-gabriel-garcia-luna-2026/
----------------------------
Busque más información de Guatemala y el mundo en  
https://www.prensalibre.com
https://www.facebook.com/prensalibregt
https://twitter.com/prensa_libre
https://www.instagram.com/prensa_libre
https://www.tiktok.com/@prensalibregt"
677N9cx_kKE,Carlos Pineda Seguridad I - Guatemala tiene solución | Ep. 2,UCInL6HZez6Qn8IHV8Achhxw,Carlos Pineda,carlospinedagt,People & Blogs,8568,2026-01-20T09:57:29-08:00,topic,guatemala seguridad,[],"Los guatemaltecos necesitan vivir seguros, solo con seguridad viene el desarrollo, hoy este flagelo afecta a Guatemala al punto de tener a los ciudadanos acostumbrados a cosas que no deberían ser normales como tener la extorsión dentro del presupuesto."
6KlI_geqPOI,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,gobiernodelarepublicadeguatema,Entertainment,2301,2025-08-04T08:08:27-07:00,topic,@GobiernodeGuatemala,[],Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
